UNIV_FISCAL_YR,OBJ_ID,VER_NBR,ACT_FIN_BAL_TYP_CD,BDGT_CHK_BALTYP_CD,BDGT_CHK_OPTN_CD,UNIV_FSCYR_STRT_YR,UNIV_FSCYR_STRT_MO,FOBJTP_INC_CSH_CD,FOBJTP_XPND_EXP_CD,FOBJTP_XPNDNEXP_CD,FOBJTP_EXPNXPND_CD,FOBJ_TYP_ASSET_CD,FOBJ_TYP_LBLTY_CD,FOBJ_TYP_FNDBAL_CD,EXT_ENC_FBALTYP_CD,INT_ENC_FBALTYP_CD,PRE_ENC_FBALTYP_CD,ELIM_FINBAL_TYP_CD,FOBJTP_INC_NCSH_CD,FOBJTP_CSH_NINC_CD,UNIV_FIN_COA_CD,UNIV_FISCAL_YR_NM,FIN_BEGBALLOAD_IND,CSTSHR_ENCUM_FIN_BAL_TYP_CD,BASE_BDGT_FIN_BAL_TYP_CD,MO_BDGT_FIN_BAL_TYP_CD,FIN_OBJECT_TYP_TRNFR_INC_CD,FIN_OBJECT_TYP_TRNFR_EXP_CD,NMNL_FIN_BAL_TYP_CD
2014,9fb06dab-5a53-4694-aadf-44102cd5bb49,1,AC,CB,Y,2013,07,IN,EX,EE,ES,AS,LI,FB,EX,IE,PE,TR,IC,CH,OU,2014-2015,N,CE,BB,MB,TI,TE,NB
2015,5608a5d5-fb28-45cb-b508-a2bd06a616cd,1,AC,CB,Y,2014,07,IN,EX,EE,ES,AS,LI,FB,EX,IE,PE,TR,IC,CH,OU,2015-2016,N,CE,BB,MB,TI,TE,NB
