AFLTN_TYP_CD,OBJ_ID,VER_NBR,NM,EMP_AFLTN_TYP_IND,ACTV_IND,DISPLAY_SORT_CD,LAST_UPDT_DT
AFLT,d8139f29-6550-4ef5-90b8-4968d4727139,1,Affiliate,N,Y,d,"2014-09-23 11:35:59"
FCLTY,18b9ba20-ce68-4a2f-964f-025f4b686266,1,Faculty,Y,Y,b,"2014-09-23 11:37:45"
STAFF,ed4e8939-04a4-4070-8904-d9eeb7fa0f6b,1,Staff,Y,Y,c,"2014-09-23 11:37:52"
STDNT,b9a35f39-b555-432d-968f-4f02ef8563b3,1,Student,N,Y,a,"2014-09-23 11:37:57"
