PCKG_TYP_ID,OBJ_ID,VER_NBR,PCKG_TYP_NM,PCKG_TYP_DESC,ROW_ACT_IND
1,cea40391-dd52-4676-89d7-bbb3cd8bd667,1,Consortial,Consortial,Y
2,b023b1b1-c3b5-4857-8ab3-92e658432de5,1,Local,Local,Y
