PYMT_TYP_ID,PYMT_TYP_NM,PYMT_TYP_DESC,OBJ_ID,VER_NBR,ROW_ACT_IND
1,Free,Free,b53d7d26-fad8-41cc-9033-9745cbe5269b,1,Y
2,Paid,Paid,f4768ce9-1a12-4987-bcbf-d39cc67afb0c,1,Y
