REQ_PRTY_ID,OBJ_ID,VER_NBR,REQ_PRTY_NM,REQ_PRTY_DESC,ROW_ACT_IND
10,7ccee8a4-734e-4053-a23b-c3261cb14322,1,"Low Priority","Low Priority",Y
9,5ffd2a40-0f24-4ee1-ad00-e9f38f16866b,1,"High Priority","High Priority",Y
