PCKG_SCP_ID,OBJ_ID,VER_NBR,PCKG_SCP_NM,PCKG_SCP_DESC,ROW_ACT_IND
1,f7171289-60b0-450c-bfe1-0f69570fe417,1,"Front File","Front File",Y
2,1b22dd5f-25e5-4d3b-842e-60ed1143ebd6,1,"Back File","Back File",Y
