MTRL_TYP_ID,OBJ_ID,VER_NBR,MTRL_TYP_NM,MTRL_TYP_DESC,ROW_ACT_IND
1,2cb3b1f4-cffc-45f1-9177-bc9bb72e2ea8,1,Journal,Journal,Y
2,98e88be5-2abf-471a-b79f-144d490bd387,1,Database,Database,Y
