CNCL_RSN_ID,CNCL_RSN_NM,CNCL_RSN_TXT,ROW_ACT_IND,OBJ_ID,VER_NBR
6,"Wrong item","Wrong item sent",Y,678eedca-48a3-4c24-a1b6-2f86bede728b,1
7,"No longer needed","No longer needed",Y,60aa92db-8b99-435a-a9f1-1e5e0b3a6f92,1
8,"Obtained from another source","Obtained from another source",Y,27937fdc-b793-4a18-b10c-09d0e8f3cc78,1
