OLE_DLVR_SRC_ID,OLE_DLVR_SRC_CD,OLE_DLVR_SRC_DESC,OLE_DLVR_SRC_NM,OBJ_ID,VER_NBR,ROW_ACT_IND
5,REG,"Registrar Created",Registrar,de75fade-5e1e-4dd9-af17-d2b0a4f45019,1,Y
6,OPCR,"Operator Created",Operator,f3df7655-b366-489c-839c-1fd8f0f60dc7,1,Y
