ROLE_MBR_ID,VER_NBR,OBJ_ID,ROLE_ID,MBR_ID,MBR_TYP_CD,ACTV_FRM_DT,ACTV_TO_DT,LAST_UPDT_DT
OLE102281,2,7940601e-d5f4-4cea-922d-497a2f8163cc,OLE10065,olequickstart,P,NULL,NULL,NULL
OLE102301,2,7b765fce-216c-4392-8dc3-2f701855e575,OLE10066,olequickstart,P,NULL,NULL,NULL
OLE102321,2,a27e9f96-e7b9-4df7-8f27-c750282fcfea,OLE10067,olequickstart,P,NULL,NULL,NULL
OLE102341,2,10b655fa-a20d-4aaa-9b7a-ff3dfde2577d,OLE10068,olequickstart,P,NULL,NULL,NULL
OLE102361,2,7728ab60-69af-48c0-ab4e-e9eccee56897,OLE10072,olequickstart,P,NULL,NULL,NULL
OLE10421,2,2b511200-c58a-42d8-bb9c-5c6097b2fa31,OLE38,olequickstart,P,NULL,NULL,NULL
OLE11631,2,3142f298-6b0a-4de3-af5e-1e8e63ee2175,OLE45,olequickstart,P,NULL,NULL,NULL
OLE11701,2,ef4793d0-faa1-4eb3-824f-c835e6e074c5,OLE49,olequickstart,P,NULL,NULL,NULL
OLE11751,2,f8c25162-688a-4b12-ac36-0f0889196ba0,OLE16,olequickstart,P,NULL,NULL,NULL
OLE11761,2,1b8d7f66-7519-4792-a2e4-2c11283bb1ce,OLE36,olequickstart,P,NULL,NULL,NULL
OLE1308,1,OLE1308,OLE17,OLE45,R,NULL,NULL,NULL
OLE1309,1,OLE1309,OLE19,OLE45,R,NULL,NULL,NULL
OLE1310,1,OLE1310,OLE22,OLE29,R,NULL,NULL,NULL
OLE1311,1,OLE1311,OLE26,OLE47,R,NULL,NULL,NULL
OLE1312,1,OLE1312,OLE35,OLE34,R,NULL,NULL,NULL
OLE1313,1,OLE1313,OLE35,OLE46,R,NULL,NULL,NULL
OLE1314,1,OLE1314,OLE44,OLE45,R,NULL,NULL,NULL
OLE1315,1,OLE1315,OLE44,OLE31,R,NULL,NULL,NULL
OLE1316,1,OLE1316,OLE44,OLE35,R,NULL,NULL,NULL
OLE1317,1,OLE1317,OLE44,OLE38,R,NULL,NULL,NULL
OLE1318,1,OLE1318,OLE44,OLE29,R,NULL,NULL,NULL
OLE1319,1,OLE1319,OLE44,OLE47,R,NULL,NULL,NULL
OLE1324,1,OLE1324,63,OLE51,R,NULL,NULL,NULL
OLE1325,1,OLE1325,OLE44,OLE36,R,NULL,NULL,NULL
OLE1326,1,OLE1326,OLE18,OLE20,R,NULL,NULL,NULL
OLE1327,1,OLE1327,OLE18,OLE47,R,NULL,NULL,NULL
OLE1328,1,OLE1328,OLE18,OLE47,R,NULL,NULL,NULL
