LIC_DOC_LOCN_ID,LIC_DOC_LOCN_NM,LIC_DOC_LOCN_DESC,ROW_ACT_IND,OBJ_ID,VER_NBR
10,Publisher,Publisher,Y,809d60c0-ef67-4c2c-9afe-8327fff88775,1
6,Acquisitions,Acquisitions,Y,f1d9afb2-a278-42e0-86c1-fd709fb3d197,1
7,Administration,Administration,Y,ea24296f-2a78-40e2-aee3-57e55f2c777f,1
8,"Campus Purchasing","Campus Purchasing",Y,6c61745b-c718-4114-9080-e7c69b1292c2,1
9,"Copyright Office","Copyright Office",Y,f90a7741-5626-433a-b3ca-94147f3556d6,1
